Symbol	id	trait	population	Chr	Start	End
EVI2B	eqtl-a-ENSG00000185862	ENSG00000185862	European	17	29630788	29641072
EVI5	eqtl-a-ENSG00000067208	ENSG00000067208	European	1	92974253	93257967
EVI5L	eqtl-a-ENSG00000142459	ENSG00000142459	European	19	7895104	7929862
EVL	eqtl-a-ENSG00000196405	ENSG00000196405	European	14	100437759	100610573
EVPL	eqtl-a-ENSG00000167880	ENSG00000167880	European	17	74002926	74023387
EWSR1	eqtl-a-ENSG00000182944	ENSG00000182944	European	22	29664257	29696511
EXD2	eqtl-a-ENSG00000081177	ENSG00000081177	European	14	69658215	69710735
EXD3	eqtl-a-ENSG00000187609	ENSG00000187609	European	9	140201348	140317614
EXO1	eqtl-a-ENSG00000174371	ENSG00000174371	European	1	242011506	242053241
EXO5	eqtl-a-ENSG00000164002	ENSG00000164002	European	1	40974439	40981710
EXOC1	eqtl-a-ENSG00000090989	ENSG00000090989	European	4	56719814	56771252
EXOC2	eqtl-a-ENSG00000112685	ENSG00000112685	European	6	485154	693139
EXOC3	eqtl-a-ENSG00000180104	ENSG00000180104	European	5	443291	467405
EXOC3-AS1	eqtl-a-ENSG00000221990	ENSG00000221990	European	5	441950	443275
EXOC3L1	eqtl-a-ENSG00000179044	ENSG00000179044	European	16	67218282	67224039
EXOC4	eqtl-a-ENSG00000131558	ENSG00000131558	European	7	132937834	133750514
EXOC5	eqtl-a-ENSG00000070367	ENSG00000070367	European	14	57667225	57735623
EXOC6	eqtl-a-ENSG00000138190	ENSG00000138190	European	10	94586588	94819247
EXOC6B	eqtl-a-ENSG00000144036	ENSG00000144036	European	2	72403113	73053162
EXOC7	eqtl-a-ENSG00000182473	ENSG00000182473	European	17	74077097	74099868
EXOC8	eqtl-a-ENSG00000116903	ENSG00000116903	European	1	231468499	231473598
EXOG	eqtl-a-ENSG00000157036	ENSG00000157036	European	3	38537831	38567794
EXOSC1	eqtl-a-ENSG00000171311	ENSG00000171311	European	10	99195666	99205763
EXOSC10	eqtl-a-ENSG00000171824	ENSG00000171824	European	1	11126675	11159926
EXOSC2	eqtl-a-ENSG00000130713	ENSG00000130713	European	9	133569147	133580281
EXOSC3	eqtl-a-ENSG00000107371	ENSG00000107371	European	9	37779711	37785089
EXOSC4	eqtl-a-ENSG00000178896	ENSG00000178896	European	8	145133575	145135551
EXOSC5	eqtl-a-ENSG00000077348	ENSG00000077348	European	19	41892279	41903264
EXOSC6	eqtl-a-ENSG00000223496	ENSG00000223496	European	16	70280681	70285843
EXOSC7	eqtl-a-ENSG00000075914	ENSG00000075914	European	3	45017736	45054160
EXOSC8	eqtl-a-ENSG00000120699	ENSG00000120699	European	13	37574923	37583751
EXOSC9	eqtl-a-ENSG00000123737	ENSG00000123737	European	4	122722478	122738176
EXPH5	eqtl-a-ENSG00000110723	ENSG00000110723	European	11	108376162	108464495
EXT1	eqtl-a-ENSG00000182197	ENSG00000182197	European	8	118806729	119124065
EXT2	eqtl-a-ENSG00000151348	ENSG00000151348	European	11	44117228	44273512
EXTL2	eqtl-a-ENSG00000162694	ENSG00000162694	European	1	101337928	101360735
EXTL3	eqtl-a-ENSG00000012232	ENSG00000012232	European	8	28559018	28613116
EXTL3-AS1	eqtl-a-ENSG00000246339	ENSG00000246339	European	8	28555920	28558981
EYA2	eqtl-a-ENSG00000064655	ENSG00000064655	European	20	45523482	45817492
EYA3	eqtl-a-ENSG00000158161	ENSG00000158161	European	1	28296855	28415121
EYS	eqtl-a-ENSG00000188107	ENSG00000188107	European	6	64429876	66417119
EZH1	eqtl-a-ENSG00000108799	ENSG00000108799	European	17	40852293	40897058
EZH2	eqtl-a-ENSG00000106462	ENSG00000106462	European	7	148504475	148581383
EZHIP	eqtl-a-ENSG00000187690	ENSG00000187690	European	X	51149800	51151695
EZR	eqtl-a-ENSG00000092820	ENSG00000092820	European	6	159186780	159240400
F10	eqtl-a-ENSG00000126218	ENSG00000126218	European	13	113777113	113803843
F11R	eqtl-a-ENSG00000158769	ENSG00000158769	European	1	160965001	160990942
F12	eqtl-a-ENSG00000131187	ENSG00000131187	European	5	176829142	176836565
F13A1	eqtl-a-ENSG00000124491	ENSG00000124491	European	6	6144317	6320895
F2R	eqtl-a-ENSG00000181104	ENSG00000181104	European	5	76011951	76031595
F2RL1	eqtl-a-ENSG00000164251	ENSG00000164251	European	5	76114855	76131140
F2RL3	eqtl-a-ENSG00000127533	ENSG00000127533	European	19	16999810	17003417
F5	eqtl-a-ENSG00000198734	ENSG00000198734	European	1	169481189	169555719
F7	eqtl-a-ENSG00000057593	ENSG00000057593	European	13	113760102	113774999
F8	eqtl-a-ENSG00000185010	ENSG00000185010	European	X	154064067	154250998
FA2H	eqtl-a-ENSG00000103089	ENSG00000103089	European	16	74746867	74808718
FAAH	eqtl-a-ENSG00000117480	ENSG00000117480	European	1	46859989	46879517
FAAH2	eqtl-a-ENSG00000165591	ENSG00000165591	European	X	57313110	57515629
FAAHP1	eqtl-a-ENSG00000232022	ENSG00000232022	European	1	46899499	46911374
FAAP100	eqtl-a-ENSG00000185504	ENSG00000185504	European	17	79506917	79519379
FAAP20	eqtl-a-ENSG00000162585	ENSG00000162585	European	1	2115916	2144159
FAAP24	eqtl-a-ENSG00000131944	ENSG00000131944	European	19	33463148	33469135
FABP3	eqtl-a-ENSG00000121769	ENSG00000121769	European	1	31838100	31845923
FABP5	eqtl-a-ENSG00000164687	ENSG00000164687	European	8	82192771	82197010
FABP5P7	eqtl-a-ENSG00000234964	ENSG00000234964	European	11	59548578	59549224
FABP6	eqtl-a-ENSG00000170231	ENSG00000170231	European	5	159614388	159665729
FADD	eqtl-a-ENSG00000168040	ENSG00000168040	European	11	70049402	70053496
FADS1	eqtl-a-ENSG00000149485	ENSG00000149485	European	11	61567099	61584475
FADS2	eqtl-a-ENSG00000134824	ENSG00000134824	European	11	61583675	61634826
FADS3	eqtl-a-ENSG00000221968	ENSG00000221968	European	11	61640998	61659017
FAF1	eqtl-a-ENSG00000185104	ENSG00000185104	European	1	50902700	51425939
FAF2	eqtl-a-ENSG00000113194	ENSG00000113194	European	5	175875386	175937075
FAH	eqtl-a-ENSG00000103876	ENSG00000103876	European	15	80445131	80479291
FAHD1	eqtl-a-ENSG00000180185	ENSG00000180185	European	16	1877207	1890208
FAHD2A	eqtl-a-ENSG00000115042	ENSG00000115042	European	2	96068456	96082364
FAHD2B	eqtl-a-ENSG00000144199	ENSG00000144199	European	2	97749320	97760619
FAHD2CP	eqtl-a-ENSG00000231584	ENSG00000231584	European	2	96676299	96688884
FAIM	eqtl-a-ENSG00000158234	ENSG00000158234	European	3	138327613	138352218
FAIM2	eqtl-a-ENSG00000135472	ENSG00000135472	European	12	50260679	50297683
FAM107A	eqtl-a-ENSG00000168309	ENSG00000168309	European	3	58549844	58613337
FAM107B	eqtl-a-ENSG00000065809	ENSG00000065809	European	10	14560556	14816896
FAM110A	eqtl-a-ENSG00000125898	ENSG00000125898	European	20	814358	826920
FAM110B	eqtl-a-ENSG00000169122	ENSG00000169122	European	8	58907082	59061343
FAM110C	eqtl-a-ENSG00000184731	ENSG00000184731	European	2	38814	46505
FAM111A	eqtl-a-ENSG00000166801	ENSG00000166801	European	11	58910329	58922512
FAM111A-DT	eqtl-a-ENSG00000245571	ENSG00000245571	European	11	58901445	58910281
FAM111B	eqtl-a-ENSG00000189057	ENSG00000189057	European	11	58874710	58894885
FAM114A1	eqtl-a-ENSG00000197712	ENSG00000197712	European	4	38869427	38947360
FAM114A2	eqtl-a-ENSG00000055147	ENSG00000055147	European	5	153369708	153418470
FAM117A	eqtl-a-ENSG00000121104	ENSG00000121104	European	17	47787694	47841493
FAM117B	eqtl-a-ENSG00000138439	ENSG00000138439	European	2	203499692	203634480
FAM118A	eqtl-a-ENSG00000100376	ENSG00000100376	European	22	45704841	45737836
FAM118B	eqtl-a-ENSG00000197798	ENSG00000197798	European	11	126081619	126132882
FAM120A	eqtl-a-ENSG00000048828	ENSG00000048828	European	9	96213967	96328394
FAM120AOS	eqtl-a-ENSG00000188938	ENSG00000188938	European	9	96205614	96215883
FAM120B	eqtl-a-ENSG00000112584	ENSG00000112584	European	6	170599791	170716155
FAM120C	eqtl-a-ENSG00000184083	ENSG00000184083	European	X	54094757	54209687
FAM124B	eqtl-a-ENSG00000124019	ENSG00000124019	European	2	225243415	225266824
FAM131A	eqtl-a-ENSG00000175182	ENSG00000175182	European	3	184053714	184064063
FAM131B	eqtl-a-ENSG00000159784	ENSG00000159784	European	7	143050493	143079397
FAM131B-AS2	eqtl-a-ENSG00000232533	ENSG00000232533	European	7	143076248	143078118
FAM133B	eqtl-a-ENSG00000234545	ENSG00000234545	European	7	92190072	92219704
FAM135A	eqtl-a-ENSG00000082269	ENSG00000082269	European	6	71123211	71270877
FAM136A	eqtl-a-ENSG00000035141	ENSG00000035141	European	2	70523108	70529199
FAM13A	eqtl-a-ENSG00000138640	ENSG00000138640	European	4	89647111	89978336
FAM13A-AS1	eqtl-a-ENSG00000248019	ENSG00000248019	European	4	89630940	89651254
FAM13B	eqtl-a-ENSG00000031003	ENSG00000031003	European	5	137273649	137374342
FAM149A	eqtl-a-ENSG00000109794	ENSG00000109794	European	4	187025858	187096491
FAM149B1	eqtl-a-ENSG00000138286	ENSG00000138286	European	10	74927877	75004262
FAM151A	eqtl-a-ENSG00000162391	ENSG00000162391	European	1	55074854	55089198
FAM151B	eqtl-a-ENSG00000152380	ENSG00000152380	European	5	79783919	79838382
FAM151B-DT	eqtl-a-ENSG00000249042	ENSG00000249042	European	5	79778619	79783765
FAM153A	eqtl-a-ENSG00000170074	ENSG00000170074	European	5	177138050	177210426
FAM153CP	eqtl-a-ENSG00000204677	ENSG00000204677	European	5	177434693	177490589
FAM156B	eqtl-a-ENSG00000179304	ENSG00000179304	European	X	52920622	52937587
FAM157A	eqtl-a-ENSG00000236438	ENSG00000236438	European	3	197880077	197949384
FAM157B	eqtl-a-ENSG00000233013	ENSG00000233013	European	9	141107306	141152165
FAM157C	eqtl-a-ENSG00000260528	ENSG00000260528	European	16	90168672	90244014
FAM161A	eqtl-a-ENSG00000170264	ENSG00000170264	European	2	62051983	62081195
FAM161B	eqtl-a-ENSG00000156050	ENSG00000156050	European	14	74398979	74416797
FAM162A	eqtl-a-ENSG00000114023	ENSG00000114023	European	3	122103029	122131181
FAM167A	eqtl-a-ENSG00000154319	ENSG00000154319	European	8	11278985	11324262
FAM167B	eqtl-a-ENSG00000183615	ENSG00000183615	European	1	32712823	32714457
FAM168A	eqtl-a-ENSG00000054965	ENSG00000054965	European	11	73111532	73309157
FAM168B	eqtl-a-ENSG00000152102	ENSG00000152102	European	2	131805449	131851033
FAM169A	eqtl-a-ENSG00000198780	ENSG00000198780	European	5	74073399	74162791
FAM170B	eqtl-a-ENSG00000172538	ENSG00000172538	European	10	50339199	50342066
FAM171A1	eqtl-a-ENSG00000148468	ENSG00000148468	European	10	15253642	15413288
FAM171A2	eqtl-a-ENSG00000161682	ENSG00000161682	European	17	42430583	42441221
FAM171B	eqtl-a-ENSG00000144369	ENSG00000144369	European	2	187558787	187630686
FAM174A	eqtl-a-ENSG00000174132	ENSG00000174132	European	5	99871078	99922445
FAM174B	eqtl-a-ENSG00000185442	ENSG00000185442	European	15	93160678	93199005
FAM174C	eqtl-a-ENSG00000228300	ENSG00000228300	European	19	1275529	1279227
FAM177A1	eqtl-a-ENSG00000151327	ENSG00000151327	European	14	35514113	35552589
FAM177B	eqtl-a-ENSG00000197520	ENSG00000197520	European	1	222910544	222924346
FAM178B	eqtl-a-ENSG00000168754	ENSG00000168754	European	2	97541622	97652317
FAM182B	eqtl-a-ENSG00000175170	ENSG00000175170	European	20	25744088	25781927
FAM183BP	eqtl-a-ENSG00000164556	ENSG00000164556	European	7	38724946	38726689
FAM184A	eqtl-a-ENSG00000111879	ENSG00000111879	European	6	119280928	119470293
FAM184B	eqtl-a-ENSG00000047662	ENSG00000047662	European	4	17630929	17783244
FAM185A	eqtl-a-ENSG00000222011	ENSG00000222011	European	7	102389446	102491170
FAM185BP	eqtl-a-ENSG00000214439	ENSG00000214439	European	7	76710972	76751606
FAM186A	eqtl-a-ENSG00000185958	ENSG00000185958	European	12	50721092	50790392
FAM186B	eqtl-a-ENSG00000135436	ENSG00000135436	European	12	49976656	49999422
FAM192BP	eqtl-a-ENSG00000231841	ENSG00000231841	European	4	153848565	153850136
FAM193A	eqtl-a-ENSG00000125386	ENSG00000125386	European	4	2537102	2734300
FAM193B	eqtl-a-ENSG00000146067	ENSG00000146067	European	5	176946789	176981564
FAM199X	eqtl-a-ENSG00000123575	ENSG00000123575	European	X	103411134	103440583
FAM200A	eqtl-a-ENSG00000221909	ENSG00000221909	European	7	99143923	99149737
FAM200B	eqtl-a-ENSG00000237765	ENSG00000237765	European	4	15683450	15692070
FAM201A	eqtl-a-ENSG00000204860	ENSG00000204860	European	9	38621085	38623281
FAM204A	eqtl-a-ENSG00000165669	ENSG00000165669	European	10	120057437	120101836
FAM207BP	eqtl-a-ENSG00000228797	ENSG00000228797	European	13	19271143	19271841
FAM209A	eqtl-a-ENSG00000124103	ENSG00000124103	European	20	55099800	55101208
FAM209B	eqtl-a-ENSG00000213714	ENSG00000213714	European	20	55108302	55111576
FAM20A	eqtl-a-ENSG00000108950	ENSG00000108950	European	17	66531257	66597508
FAM20B	eqtl-a-ENSG00000116199	ENSG00000116199	European	1	178994939	179045702
FAM20C	eqtl-a-ENSG00000177706	ENSG00000177706	European	7	192571	300738
FAM210A	eqtl-a-ENSG00000177150	ENSG00000177150	European	18	13663346	13726557
FAM210B	eqtl-a-ENSG00000124098	ENSG00000124098	European	20	54934030	54943719
FAM215A	eqtl-a-ENSG00000267496	ENSG00000267496	European	17	41994576	41995355
FAM216A	eqtl-a-ENSG00000204856	ENSG00000204856	European	12	110906650	110928190
FAM217B	eqtl-a-ENSG00000196227	ENSG00000196227	European	20	58508834	58523735
FAM218A	eqtl-a-ENSG00000250486	ENSG00000250486	European	4	165878100	165880283
FAM219A	eqtl-a-ENSG00000164970	ENSG00000164970	European	9	34398182	34458568
FAM219B	eqtl-a-ENSG00000178761	ENSG00000178761	European	15	75192333	75199192
FAM220A	eqtl-a-ENSG00000178397	ENSG00000178397	European	7	6369042	6388598
FAM221A	eqtl-a-ENSG00000188732	ENSG00000188732	European	7	23719818	23742269
FAM221B	eqtl-a-ENSG00000204930	ENSG00000204930	European	9	35816388	35828729
FAM222A	eqtl-a-ENSG00000139438	ENSG00000139438	European	12	110151630	110208300
FAM222B	eqtl-a-ENSG00000173065	ENSG00000173065	European	17	27082998	27169808
FAM225A	eqtl-a-ENSG00000231528	ENSG00000231528	European	9	115875176	115882126
FAM226B	eqtl-a-ENSG00000269911	ENSG00000269911	European	X	71996897	71998919
FAM227B	eqtl-a-ENSG00000166262	ENSG00000166262	European	15	49619167	49913015
FAM228B	eqtl-a-ENSG00000219626	ENSG00000219626	European	2	24299703	24392507
FAM229A	eqtl-a-ENSG00000225828	ENSG00000225828	European	1	32826871	32828086
FAM229B	eqtl-a-ENSG00000203778	ENSG00000203778	European	6	112408794	112423993
FAM234A	eqtl-a-ENSG00000167930	ENSG00000167930	European	16	284820	319962
FAM234B	eqtl-a-ENSG00000084444	ENSG00000084444	European	12	13197315	13236383
FAM238A	eqtl-a-ENSG00000233261	ENSG00000233261	European	10	26878794	26883253
FAM241A	eqtl-a-ENSG00000174749	ENSG00000174749	European	4	113066610	113116412
FAM241B	eqtl-a-ENSG00000171224	ENSG00000171224	European	10	71390003	71393352
FAM24B	eqtl-a-ENSG00000213185	ENSG00000213185	European	10	124608594	124639157
FAM30A	eqtl-a-ENSG00000226777	ENSG00000226777	European	14	106383838	106398502
FAM32A	eqtl-a-ENSG00000105058	ENSG00000105058	European	19	16296221	16302857
FAM32BP	eqtl-a-ENSG00000203416	ENSG00000203416	European	22	17694372	17696138
FAM3A	eqtl-a-ENSG00000071889	ENSG00000071889	European	X	153734502	153744556
FAM3B	eqtl-a-ENSG00000183844	ENSG00000183844	European	21	42688728	42729654
FAM3C	eqtl-a-ENSG00000196937	ENSG00000196937	European	7	120988932	121036362
FAM3C2P	eqtl-a-ENSG00000174028	ENSG00000174028	European	X	23093703	23095529
FAM3D	eqtl-a-ENSG00000198643	ENSG00000198643	European	3	58619673	58652501
FAM43A	eqtl-a-ENSG00000185112	ENSG00000185112	European	3	194406612	194409766
FAM50A	eqtl-a-ENSG00000071859	ENSG00000071859	European	X	153672488	153679002
FAM50B	eqtl-a-ENSG00000145945	ENSG00000145945	European	6	3849607	3851551
FAM53A	eqtl-a-ENSG00000174137	ENSG00000174137	European	4	1641608	1686040
FAM53B	eqtl-a-ENSG00000189319	ENSG00000189319	European	10	126307861	126432947
FAM53B-AS1	eqtl-a-ENSG00000233334	ENSG00000233334	European	10	126392597	126403343
FAM53C	eqtl-a-ENSG00000120709	ENSG00000120709	European	5	137673246	137685418
FAM66B	eqtl-a-ENSG00000215374	ENSG00000215374	European	8	7156266	7212885
FAM66C	eqtl-a-ENSG00000226711	ENSG00000226711	European	12	8332805	8353596
FAM66D	eqtl-a-ENSG00000255052	ENSG00000255052	European	8	11973291	12008698
FAM72A	eqtl-a-ENSG00000196550	ENSG00000196550	European	1	206135557	206155151
FAM72B	eqtl-a-ENSG00000188610	ENSG00000188610	European	1	120838983	120855681
FAM72D	eqtl-a-ENSG00000215784	ENSG00000215784	European	1	143896448	143914847
FAM76A	eqtl-a-ENSG00000009780	ENSG00000009780	European	1	28052472	28089627
FAM76B	eqtl-a-ENSG00000077458	ENSG00000077458	European	11	95502117	95522946
FAM78A	eqtl-a-ENSG00000126882	ENSG00000126882	European	9	134133465	134153422
FAM78B	eqtl-a-ENSG00000188859	ENSG00000188859	European	1	166025155	166136238
FAM81A	eqtl-a-ENSG00000157470	ENSG00000157470	European	15	59730385	59815754
FAM81B	eqtl-a-ENSG00000153347	ENSG00000153347	European	5	94727070	94786145
FAM83A	eqtl-a-ENSG00000147689	ENSG00000147689	European	8	124191287	124222319
FAM83D	eqtl-a-ENSG00000101447	ENSG00000101447	European	20	37555060	37581749
FAM83F	eqtl-a-ENSG00000133477	ENSG00000133477	European	22	40390958	40439538
FAM83G	eqtl-a-ENSG00000188522	ENSG00000188522	European	17	18872102	18908077
FAM83H	eqtl-a-ENSG00000180921	ENSG00000180921	European	8	144806103	144815949
FAM86B1	eqtl-a-ENSG00000186523	ENSG00000186523	European	8	12039615	12051642
FAM86B2	eqtl-a-ENSG00000145002	ENSG00000145002	European	8	12281930	12293909
FAM86B3P	eqtl-a-ENSG00000173295	ENSG00000173295	European	8	8086092	8102387
FAM86C2P	eqtl-a-ENSG00000160172	ENSG00000160172	European	11	67559238	67572807
FAM86DP	eqtl-a-ENSG00000244026	ENSG00000244026	European	3	75470703	75484266
FAM86EP	eqtl-a-ENSG00000251669	ENSG00000251669	European	4	3943487	3957155
FAM86FP	eqtl-a-ENSG00000164845	ENSG00000164845	European	12	8383645	8395542
FAM86HP	eqtl-a-ENSG00000253540	ENSG00000253540	European	3	129816625	129830276
FAM86JP	eqtl-a-ENSG00000171084	ENSG00000171084	European	3	125635444	125648867
FAM88B	eqtl-a-ENSG00000170161	ENSG00000170161	European	9	66553200	66555601
FAM89A	eqtl-a-ENSG00000182118	ENSG00000182118	European	1	231154704	231176000
FAM89B	eqtl-a-ENSG00000176973	ENSG00000176973	European	11	65340009	65341661
FAM8A1	eqtl-a-ENSG00000137414	ENSG00000137414	European	6	17600533	17611946
FAM90A1	eqtl-a-ENSG00000171847	ENSG00000171847	European	12	8373856	8380214
FAM91A1	eqtl-a-ENSG00000176853	ENSG00000176853	European	8	124780679	124827692
FAM98A	eqtl-a-ENSG00000119812	ENSG00000119812	European	2	33808727	33824366
FAM98B	eqtl-a-ENSG00000171262	ENSG00000171262	European	15	38746328	38779911
FAM98C	eqtl-a-ENSG00000130244	ENSG00000130244	European	19	38893733	38899728
FAM9B	eqtl-a-ENSG00000177138	ENSG00000177138	European	X	8992273	9002168
FAM9C	eqtl-a-ENSG00000187268	ENSG00000187268	European	X	13053736	13062739
FAN1	eqtl-a-ENSG00000198690	ENSG00000198690	European	15	31196055	31235311
FANCA	eqtl-a-ENSG00000187741	ENSG00000187741	European	16	89803957	89883055
FANCB	eqtl-a-ENSG00000181544	ENSG00000181544	European	X	14861527	14891191
FANCC	eqtl-a-ENSG00000158169	ENSG00000158169	European	9	97861336	98079991
FANCD2	eqtl-a-ENSG00000144554	ENSG00000144554	European	3	10068121	10143616
FANCE	eqtl-a-ENSG00000112039	ENSG00000112039	European	6	35420115	35434879
FANCF	eqtl-a-ENSG00000183161	ENSG00000183161	European	11	22644079	22647369
FANCG	eqtl-a-ENSG00000221829	ENSG00000221829	European	9	35073836	35079939
FANCI	eqtl-a-ENSG00000140525	ENSG00000140525	European	15	89787210	89860490
FANCL	eqtl-a-ENSG00000115392	ENSG00000115392	European	2	58386378	58468515
FANCM	eqtl-a-ENSG00000187790	ENSG00000187790	European	14	45605133	45670093
FANK1	eqtl-a-ENSG00000203780	ENSG00000203780	European	10	127585133	127698161
FAR1	eqtl-a-ENSG00000197601	ENSG00000197601	European	11	13690215	13753893
FAR2	eqtl-a-ENSG00000064763	ENSG00000064763	European	12	29302211	29488549
FAR2P2	eqtl-a-ENSG00000178162	ENSG00000178162	European	2	131174323	131186119
FARP1	eqtl-a-ENSG00000152767	ENSG00000152767	European	13	98794843	99107430
FARP2	eqtl-a-ENSG00000006607	ENSG00000006607	European	2	242295700	242434256
FARS2	eqtl-a-ENSG00000145982	ENSG00000145982	European	6	5261240	5771816
FARSA	eqtl-a-ENSG00000179115	ENSG00000179115	European	19	13033293	13044525
FARSB	eqtl-a-ENSG00000116120	ENSG00000116120	European	2	223431618	223520811
FAS	eqtl-a-ENSG00000026103	ENSG00000026103	European	10	90750555	90776816
FASLG	eqtl-a-ENSG00000117560	ENSG00000117560	European	1	172628243	172636016
FASN	eqtl-a-ENSG00000169710	ENSG00000169710	European	17	80036214	80056112
FASTK	eqtl-a-ENSG00000164896	ENSG00000164896	European	7	150773711	150777896
FASTKD1	eqtl-a-ENSG00000138399	ENSG00000138399	European	2	170385018	170430375
FASTKD2	eqtl-a-ENSG00000118246	ENSG00000118246	European	2	207630330	207660913
FASTKD3	eqtl-a-ENSG00000124279	ENSG00000124279	European	5	7859272	7869144
FASTKD5	eqtl-a-ENSG00000215251	ENSG00000215251	European	20	3127165	3140511
FAT2	eqtl-a-ENSG00000086570	ENSG00000086570	European	5	150883653	150970892
FAT4	eqtl-a-ENSG00000196159	ENSG00000196159	European	4	126236110	126414087
FAU	eqtl-a-ENSG00000149806	ENSG00000149806	European	11	64888102	64889606
FAXDC2	eqtl-a-ENSG00000170271	ENSG00000170271	European	5	154198052	154230163
FBF1	eqtl-a-ENSG00000188878	ENSG00000188878	European	17	73905655	73937123
FBH1	eqtl-a-ENSG00000134452	ENSG00000134452	European	10	5931535	5979556
FBL	eqtl-a-ENSG00000105202	ENSG00000105202	European	19	40325098	40337019
FBLL1	eqtl-a-ENSG00000188573	ENSG00000188573	European	5	167956310	167957639
FBLN1	eqtl-a-ENSG00000077942	ENSG00000077942	European	22	45898763	45997015
FBLN2	eqtl-a-ENSG00000163520	ENSG00000163520	European	3	13590625	13679904
FBLN5	eqtl-a-ENSG00000140092	ENSG00000140092	European	14	92335755	92414038
FBLN7	eqtl-a-ENSG00000144152	ENSG00000144152	European	2	112895962	112945795
FBN1	eqtl-a-ENSG00000166147	ENSG00000166147	European	15	48700510	48937906
FBN2	eqtl-a-ENSG00000138829	ENSG00000138829	European	5	127593601	127873938
FBP1	eqtl-a-ENSG00000165140	ENSG00000165140	European	9	97365415	97402545
FBRS	eqtl-a-ENSG00000156860	ENSG00000156860	European	16	30669752	30682131
FBRSL1	eqtl-a-ENSG00000112787	ENSG00000112787	European	12	133066737	133161774
FBXL12	eqtl-a-ENSG00000127452	ENSG00000127452	European	19	9920946	9929755
FBXL13	eqtl-a-ENSG00000161040	ENSG00000161040	European	7	102451636	102715243
FBXL14	eqtl-a-ENSG00000171823	ENSG00000171823	European	12	1675159	1703747
FBXL15	eqtl-a-ENSG00000107872	ENSG00000107872	European	10	104180593	104182893
FBXL16	eqtl-a-ENSG00000127585	ENSG00000127585	European	16	742500	755801
FBXL17	eqtl-a-ENSG00000145743	ENSG00000145743	European	5	107194736	107717799
FBXL18	eqtl-a-ENSG00000155034	ENSG00000155034	European	7	5494056	5553440
FBXL19	eqtl-a-ENSG00000099364	ENSG00000099364	European	16	30934172	30960104
FBXL19-AS1	eqtl-a-ENSG00000260852	ENSG00000260852	European	16	30930640	30934590
FBXL2	eqtl-a-ENSG00000153558	ENSG00000153558	European	3	33318517	33464190
FBXL20	eqtl-a-ENSG00000108306	ENSG00000108306	European	17	37408916	37558809
FBXL22	eqtl-a-ENSG00000197361	ENSG00000197361	European	15	63889586	63895631
FBXL3	eqtl-a-ENSG00000005812	ENSG00000005812	European	13	77579395	77601294
FBXL4	eqtl-a-ENSG00000112234	ENSG00000112234	European	6	99316411	99395822
FBXL5	eqtl-a-ENSG00000118564	ENSG00000118564	European	4	15606004	15656980
FBXL6	eqtl-a-ENSG00000182325	ENSG00000182325	European	8	145579091	145582132
FBXL8	eqtl-a-ENSG00000135722	ENSG00000135722	European	16	67193860	67198077
FBXO10	eqtl-a-ENSG00000147912	ENSG00000147912	European	9	37510889	37576377
FBXO11	eqtl-a-ENSG00000138081	ENSG00000138081	European	2	48034059	48133637
FBXO15	eqtl-a-ENSG00000141665	ENSG00000141665	European	18	71740603	71815069
FBXO2	eqtl-a-ENSG00000116661	ENSG00000116661	European	1	11708444	11714486
FBXO21	eqtl-a-ENSG00000135108	ENSG00000135108	European	12	117579796	117628275
FBXO22	eqtl-a-ENSG00000167196	ENSG00000167196	European	15	76196219	76234852
FBXO24	eqtl-a-ENSG00000106336	ENSG00000106336	European	7	100183951	100198740
FBXO25	eqtl-a-ENSG00000147364	ENSG00000147364	European	8	356958	427967
FBXO27	eqtl-a-ENSG00000161243	ENSG00000161243	European	19	39514661	39523189
FBXO28	eqtl-a-ENSG00000143756	ENSG00000143756	European	1	224301813	224349749
FBXO3	eqtl-a-ENSG00000110429	ENSG00000110429	European	11	33762490	33796066
FBXO30	eqtl-a-ENSG00000118496	ENSG00000118496	European	6	146114638	146135931
FBXO31	eqtl-a-ENSG00000103264	ENSG00000103264	European	16	87360593	87425727
FBXO32	eqtl-a-ENSG00000156804	ENSG00000156804	European	8	124510129	124553446
FBXO33	eqtl-a-ENSG00000165355	ENSG00000165355	European	14	39866888	39901637
FBXO34	eqtl-a-ENSG00000178974	ENSG00000178974	European	14	55738139	55820329
FBXO36	eqtl-a-ENSG00000153832	ENSG00000153832	European	2	230787219	230877835
FBXO38	eqtl-a-ENSG00000145868	ENSG00000145868	European	5	147763521	147822399
FBXO38-DT	eqtl-a-ENSG00000247199	ENSG00000247199	European	5	147647870	147763413
FBXO39	eqtl-a-ENSG00000177294	ENSG00000177294	European	17	6679534	6690965
FBXO4	eqtl-a-ENSG00000151876	ENSG00000151876	European	5	41925383	41941845
FBXO40	eqtl-a-ENSG00000163833	ENSG00000163833	European	3	121312226	121349142
FBXO41	eqtl-a-ENSG00000163013	ENSG00000163013	European	2	73481818	73511606
FBXO42	eqtl-a-ENSG00000037637	ENSG00000037637	European	1	16573335	16678975
FBXO44	eqtl-a-ENSG00000132879	ENSG00000132879	European	1	11714464	11723384
FBXO45	eqtl-a-ENSG00000174013	ENSG00000174013	European	3	196295531	196315930
FBXO46	eqtl-a-ENSG00000177051	ENSG00000177051	European	19	46213887	46236435
FBXO48	eqtl-a-ENSG00000204923	ENSG00000204923	European	2	68686554	68694426
